語詞,解釋
數學,討論數量、形狀及它們之間的關係的科學。包括算術、代數、幾何、三角、解析幾何、微分、積分等。[例]他在語文方面的能力較差，但在數學上表現優異。
歡迎,1.高興地迎接。[例]列隊歡迎
交流,1.江河匯合而流。[例]新店溪在江子翠與大漢溪交流後，形成淡水河主流。
世界,1.世上、人間。[例]大千世界、浮華世界
冒險,不顧危險而從事某一活動。[例]他冒險突圍，令人捏一把冷汗。
寶庫,1.珍藏寶貴物品的地方。[例]故宮不僅是收藏文物的寶庫，也是知識的寶庫。
探索,探查摸索。[例]太空探索、探索自我、探索真理
奧祕,深奧神祕。[例]自然界中蘊含著無窮無盡的奧祕。
巨人,1.神話或童話中，身軀龐大且具有神力的人。[例]希臘神話中，認為地球是由力大無窮的巨人扛頂著。
頭髮,頭上的毛髮。[例]她有一頭健康亮麗的頭髮，真是令人羨慕。　◎
樹根,樹木的根。
城牆,城池的圍牆，既高且厚，多築於城市四周，供防禦之用。
狂風,1.猛烈的強風。[例]樹木被狂風吹折，連根拔起。
呼吸,生物體與外界環境進行氣體交換的過程。如低等動物靠皮膚呼吸；人和高等動物用肺呼吸，吸入新鮮的空氣，呼出體內的二氧化碳，植物則透過表面的組織進行氣體交換。[例]常到森林中呼吸新鮮的空氣，有益身心健康。
差點兒,1.幾乎。[例]火車站周邊道路嚴重塞車，他差點兒趕不上這班火車。
睜開,張開眼睛。如：「請你睜開眼睛看清楚，坐在那裡的是小陳，不是小張。」《西遊記》第七八回：「那老軍猛然驚覺，麻麻糊糊的睜開眼，看見行者，連忙跪下磕頭。」
趕緊,掌握時機，從速進行。[例]時間不早了，我們趕緊上路吧！
食物,一切可供飲食的東西。[例]他不喜歡吃辛辣的食物。
分量,1.事物的輕重、多寡。[例]他的工作分量很重，幾乎每天得加班。
到底,1.到盡頭。[例]堅持到底
發愁,因沒有主意或辦法而感到憂愁。[例]他正為籌不到學費而發愁。
嘆息,嘆氣。[例]看他年紀輕輕就誤蹈法網，犯下大錯，令人嘆息不已。
忌妒,對才能或境遇比自己好的人心懷不平與怨恨。明．方孝孺〈與鄭叔度書〉一〇首之四：「宋之時司馬公、歐陽子、二程、蘇子瞻以及朱文公皆負當世重名，然為世人所忌妒，無得行其志者。」《老殘遊記》第一七回：「我剛纔得了個好點的差使，忌妒的人很多，能不告訴宮保嗎？」
口訣,容易背誦上口的語句。[例]心算口訣、珠算口訣、九九乘法口訣
看似,看起來像是。[例]灌籃得分看似輕鬆，卻是球員苦練的成果。
練習,1.反覆作習，使之熟練。[例]學習語言需要不斷練習，才能進步。
點名,1.按名冊一一點喚查對。[例]這位老師很嚴格，每次上課前一定點名。
歪打正著,本無意去做或所為方法不當，卻僥倖得到好的結果。[例]這本書一直找不到，沒想到在大掃除時，卻歪打正著的在桌下發現。
窗戶,裝置於牆上可通風透光的設備。[例]他打開窗戶好讓空氣流通。
霧裡看花,形容視線模糊，看不清楚。後比喻看不清楚事情的真相。語本〈唐．杜甫〈小寒食舟中作〉詩〉。[例]我對這件事充滿疑問，就像霧裡看花，始終不清晰。
黑板,以木頭製成，可以在上面用粉筆書寫、圖繪的板子。通常為黑色或綠色，多用於教學。[例]老師在黑板上寫下課文的結構分析表，以便同學作筆記。
答案,問題的解答。[例]這題數學的正確答案是什麼？
專心,專一心思，集中心力。[例]學生在讀書學習時要專心，才能獲得好成績。
收穫,1.割取成熟的農作物。[例]農夫在春天播種插秧，到秋天就可以收穫了。
晃動,搖晃、震動。[例]平底船晃動得相當厲害，使我們在船上都暈吐不已。
已經,表示時間已過，或動作、狀況、事情在某時間之前完成。[例]一大清早，許多人都還在睡夢中，他已經端坐在書房中讀了不少書了。
手忙腳亂,形容做事慌亂，沒有條理。[例]生手開車，難免手忙腳亂。
雨傘,遮雨用的傘。多用油紙、油布或塑膠布料等製成。[例]梅雨季節期間，出門時最好隨身攜帶雨傘。
喊叫,大聲呼叫。[例]她情急之下大聲喊叫，把小偷嚇跑了。
文章,1.由文字連綴而成的篇章。[例]文章要的是內容豐富，而不一定要有很長的敘述。
詞語,言詞、話語。[例]寫作應盡量避免生僻的詞語。
繞口令,一種語言遊戲。將漢語中聲母、韻母、聲調容易混同的文字交錯編成句子，使人唸起來有些拗口，說快了則容易發生錯誤。[例]母親曾教我一首繞口令：飛機飛，灰雞灰，飛機飛來灰雞飛。
由於,表示原因或理由。[例]由於人手不足，公司決定再請幾名工讀生來幫忙。
暴風雨,急驟而猛烈的風雨。[例]在暴風雨的侵襲下，路旁的行道樹全倒了。
迷失,迷惑而無法分辨、失去理智。[例]迷失方向、迷失本性
上岸,登上岸邊。[例]海水已開始漲潮了，趕快上岸吧！
老闆,舊稱商店主人。今泛指工商企業、公司行號的產權所有人。[例]那個老闆正怒聲斥責著做錯事的伙計。　△老板
用料,使用的材料。[例]這家牛肉麵館用料實在，口味獨特，所以生意十分興隆。
實在,1.真實、不虛假。[例]大姐經營的餐廳因價格實在而生意興隆。
葡萄,植物名。葡萄科葡萄屬，落葉大藤本。葉心狀圓形，呈掌狀分裂。花色黃綠，呈圓錐形。果實亦稱為「葡萄」，為球形或橢圓形，果皮有黃色、紫色、淡綠色等，果肉半透明，酸甜多汁，是常見水果，可釀酒。[例]葡萄含有豐富的維他命，多加食用，具有美容、補血益氣的功效。　◎
停留,停住不前進。[例]因為山路遙遠，我們不妨在中途稍做停留，休息一番，再繼續前進。
參觀,實地觀覽。[例]今天老師帶領我們去參觀博物館。
小丑魚,動物名。硬骨魚綱。一種生活在淺海珊瑚礁附近的熱帶魚。色澤鮮豔，以水中浮游生物為食。
海葵,動物名。腔腸動物門。體軟，呈圓柱形，頂端叢生觸手，內含毒刺，可用來捕食生物。多生活於溫帶海域。　△菟葵
擺動,搖擺移動。[例]微風一吹，柳條兒就輕輕的擺動起來。
露出,顯現。[例]他露出猶豫的臉色，不知道該不該答應對方的要求。
不懷好意,心裡面有不好的念頭。[例]那個人不懷好意，你可得當心點兒！
居心不良,心懷不軌，意圖不善。如：「那流氓落得今天如此慘境，都是平時居心不良的惡果。」
觸手,腔腸動物的感覺器官。多位於身體前端口的周緣，可自由伸縮，有些則附有吸盤。觸手可感覺周圍環境及幫助捕食。如水母、水螅、海參等均有觸手。
欺負,欺凌侮辱。[例]他仗著人高馬大，總是欺負弱小。
感動,情緒因受外界刺激而有所震撼、激盪。[例]他的一席話深深的感動了我。
遇到,碰到。[例]昨天下班後，我在回家途中遇到了一位舊同事。
危險,不安全。[例]三更半夜一個人在外面遊蕩是很危險的事。
絲帶,絲質的帶子。[例]他用各色絲帶做出一束玫瑰花，送給朋友當生日禮物。
朝會,中小學校於清晨所舉行的集會。[例]在今天的朝會上，校長頒發獎狀給這次月考成績優秀的同學。
努力,盡量使出力來。[例]努力讀書、努力奮鬥
指導,指示引導。[例]在老師的耐心指導下，學生都有了明顯的進步。
利用,1.發揮物資的功用。[例]廢物利用
整排,1.全排。如：「前方路口發生車禍，後面整排車子都動彈不得。」
紙條,用以留言、備忘的便條紙。《儒林外史》第三四回：「每人讀書的桌上寫一紙條貼著，上寫道：『不可學天長杜儀！』」《老殘遊記二編》第一回：「可以寫個紙條兒，叫道士著個人送到店裡。」
鬆了一口氣,指問題與事務等處理告一段落後，心情較為輕鬆自在。[例]案子結束後，大家才鬆了一口氣，心上的石頭終於放下了。
必定,1.一定。表示肯定的推斷。[例]只要每一步都走得穩當，必定可以步向成功的坦途。
通通,全部、所有的。[例]主辦單位提供了豐富的獎品，讓參與活動的民眾通通有獎。
操場,供軍事操練或體育活動的廣場。一般指學校的運動場。[例]下一節體育課，本班同學將在操場打躲避球。
女生,泛指一般的女孩。[例]現代女生的審美觀點多元，各有所好。
非常,特別的、不尋常的。[例]他是個非常傑出的電視演員。
喵喵,擬聲詞。形容貓的叫聲。如：「小貓餓了，對著主人喵喵的叫。」
關門,1.把門關上。[例]冷氣開放中，請隨手關門！
洗澡,用水清洗身體。[例]爸爸每天回家後都會先洗澡，再吃晚飯。
哪怕,就算是。如：「哪怕他有通天的本領，也逃不出我的手掌心。」《紅樓夢》第五三回：「咱們哪怕用一萬兩銀子供祖宗，到底不如這個有體面。」
回應,1.回答他人的問話。[例]他在臺上發問，臺下卻沒人回應。
平時,平常、平日。[例]平時做足準備，面對挑戰就不會自亂陣腳。
毛茸茸,形容毛多而柔細。[例]毛茸茸的絨毛玩具，很受小朋友歡迎。
肚子,料理食物時稱動物的胃為「肚子」。[例]羊肚子、牛肚子　△肚兒 / 1.腹部的通稱。[例]他因為吃了不乾淨的東西，現在肚子正疼著呢！
一副,1.數量詞：(1)物一組。《水滸傳》第三回：「史進便入茶坊裡來，揀一副座位坐了。」(2)物成雙。《老殘遊記》第五回：「看這于家死的實在可慘，又平白的受了人家一副金鐲子，心裡也有點過不去。」
黏人,緊纏著人，不肯放鬆。[例]這孩子真黏人！讓我走不開。
膠水,具有黏性的液體或液態膠。[例]他用膠水貼好封口和郵票之後，就把信投入郵筒了。
傳統,1.世代相傳，有傳承延續性質的社會因素，如風俗、道德、習慣、信仰、思想、方法等。[例]勤儉是我國的優良傳統之一。
商行,規模較大的商店。[例]清末各租界地內有許多洋人設立的商行。
阿婆,1.對年長婦人的通稱。 [例]市場賣菜的阿婆，經常天未亮就準備好做生意了。
蒼老,形容聲音或外貌的老態。[例]幾年不見，他看起來蒼老許多。
山坡,山頂與平地間的斜面地帶。[例]我家門前有小河，後面有山坡，山坡上有野花朵，野花紅似火。
回憶,1.回想往事。[例]回憶當年攜手走過的歲月，真是有甘有苦。
夕陽,1.傍晚時將西下的太陽。[例]夕陽西下，斷腸人在天涯。（元．馬致遠〈天淨沙．枯藤老樹昏鴉〉曲）
搖盪,搖擺晃盪。[例]窗口的風鈴隨風搖盪，發出清脆的聲音。
教育,1.教導培育。[例]父母從小就教育他「一分耕耘，一分收穫」的觀念。
博物館,蒐集、陳列各式各樣物品，讓人觀賞，並永久保存及提供研究的場所。[例]一座典藏豐富的博物館就等於是一個知識寶庫。
史料,有關歷史的文獻資料。[例]故宮博物院典藏有大量明、清朝的檔案史料，可供研究明、清史的人士參考。
模型,模仿實物的原形，縮小製成的樣品。通常用於展示或實驗。[例]飛機模型、汽車模型
荷蘭,國名。為歐洲西北部的立憲王國。參見「荷蘭王國」條。
鄭成功,人名。（西元1624～1662）初名森，字大木，唐王賜姓朱，改名成功，為明末南安人。父平國公鄭芝龍降清，成功遁入海島與父絕。桂王封之為延平郡王招討大將軍，命率師攻閩浙，又大舉下江南各地，圍南京，祭孝陵，後兵失利，退取臺灣作為根據地，仍奉明年號，未幾而卒。
打敗,1.戰爭或競爭中失敗。[例]這場球賽如果我們被打敗，就會遭到淘汰。
駐守,駐紮防守。[例]他們奉命駐守海防要地，嚴防走私、偷渡。
守護,守衛保護。[例]前線的將士們日夜守護著邊界，不讓敵人越雷池一步。
勇敢,有勇氣，敢於作為。[例]他為人正直，經常勇敢的站出來打抱不平。
士兵,軍隊中基層的戰士。目前我國軍中士兵分為上等兵、一等兵、二等兵等。[例]士兵們正在靶場上進行射擊訓練。
土地,1.田地，有土壤的地面。[例]土地遼闊、土地肥沃、土地改革
附近,距離不遠的地方。[例]媽媽要我到附近的雜貨店買醬油。
瞭望臺,用以眺望遠方敵情或景物的高臺。[例]站在瞭望臺上放眼望去，無邊的美景盡收眼底。
屋頂,建築物最上面覆蓋的部分。具有防風、雨、雪及抵擋陽光等功能。[例]每逢晴天，陽光便從屋頂的天窗透進來。
地標,1.用來標示界線位置的目標物。[例]縣政府常以石碑作為兩個鄉鎮交界的地標。
溼地,指地下水面高，經常為水所淹沒的地帶。如沼澤、窪地、水塘等。可防止潮汐入侵內地、淨化沉澱水源、提供鳥類、水生、兩棲類及淡鹹水過渡植物的生長環境。關渡淡水河的出海口處即為溼地。[例]環保團體呼籲保護溼地，以讓水鳥有個棲息地。
阿美族,臺灣原住民族之一。「阿美」（Amis）本是卑南族對其稱呼，意為「北方人」，花蓮地區族人則自稱邦札（Pangcah）後來遂為本族的通稱。主要分布在花蓮、臺東、屏東之平地行政區。傳統上屬於典型的母系、母權社會，經濟以農耕為主。有泛靈信仰，每年為感謝神靈，會舉辦祭典，如豐年祭、漁撈祭。
特別,與眾不同。[例]這場露天演唱會十分特別，吸引不少的觀眾前往欣賞。
方式,做事情所採取的順序、形式。[例]表演方式、工作方式
打造,以手工製造。[例]這條項鍊打造得相當精緻。
竹子,→竹
植物,百穀草木的總稱。為有機生物之一。植物細胞與動物細胞最大的不同在於具有細胞壁，且大部分內含葉綠素，可行光合作用，攝取光、水等無機物，並轉化成養分。植物通常固定於一處，種子可藉水、風、人等外力帶至各地繁殖。種類繁多，約可分為草本、木本等類別。
釣魚,用餌誘魚上鉤。[例]閒暇無事時，他喜歡一個人到海邊釣魚。
智慧,1.聰明才智。[例]人類運用智慧創造了文明，提升了生活品質。
生態,1.生物圈內的生物，不論是同種或異種，彼此間都會相互影響，而生物和其生存的環境 ，也會發生相互作用，這些現象稱為「生態」。[例]保護野生動物，才能維持自然生態的平衡。
狐狸,1.本指狐和狸兩種動物，後多專指狐。[例]童話故事中的狐狸常是狡猾奸詐的。
萬里,形容極遠。《後漢書．卷二三．竇融傳》：「璽書既至，河西咸驚，以為天子明見萬里之外，網羅張立之情。」《儒林外史》第三八回：「他這萬里長途，自然盤費也難。我這裡拿拾兩銀子，少卿，你去送與他，不必說是我的。」
兄弟,1.男子同胞先出生的為兄，後出生的為弟。[例]他們兄弟從小都是由外婆撫養長大的。 / 男子自謙之詞。[例]兄弟今天能有這個地位，全靠大家幫忙。
祕密,1.隱密的。[例]這件事只能祕密進行，不能聲張。
放棄,拋棄。[例]不到最後關頭，絕不輕言放棄。
妙計,巧妙的計策。[例]錦囊妙計
強壯,健壯有力。[例]他找了幾位強壯的路人，幫忙推動陷入泥沼的車子。
愉悅,快樂、喜悅。[例]他親切的服務態度，令顧客感到愉悅。
拜訪,拜候、探望。[例]這次到南部出差，母親要我順道去拜訪舅父。
免得,避免。[例]出外旅遊要注意安全，免得父母擔心。
離開,與人、物或地方分開。[例]魚一離開水，很快就會死亡。
顯得,極明顯清楚的表露出某一情況。《紅樓夢》第四九回：「越顯得蜂腰猿背，鶴勢螂形。」
漫長,特別長、長得看不到盡頭。[例]學習是條漫長的道路，既考驗耐心，也考驗毅力。
乾枯,1.草木缺少水分或營養而枯黃的樣子。[例]冬天來臨時，樹上的葉子會漸漸乾枯而掉落。
恍然大悟,忽然完全明白。[例]經過老師一番懇談之後，他才恍然大悟：原來過去父母的管教都是出於關愛。
拆除,拆掉、去除。[例]在規勸無效後，工務局決定強行拆除違建。
盛開,花朵開得茂盛。[例]院子裡的桂花盛開，香氣撲鼻。
故障,機械無法順利運作。[例]機器突然故障，工廠因而停工了數小時。
沙漠,地面覆蓋沙土，乾旱缺水，植物稀少的土地。平均年雨量不足二百五十公釐。如撒哈拉沙漠、澳洲沙漠等。[例]沙漠地區日夜的溫差極大。
綿羊,動物名。哺乳綱偶蹄目。角較山羊短小，性溫順，毛長而軟，可織呢絨，並可製裘。[例]人類飼養綿羊的目的是為了取用牠的毛、奶和肉。
中央,1.中間或中心地方。[例]水面中央一群白鷺鷥正鼓翼飛起。
重複,事物反覆相同。[例]這一小節的動作重複做兩次後，再換動作。
疑問,令人質疑的問題。[例]如有任何疑問，請打電話至本中心查詢。
打算,考慮、計劃。[例]我打算畢業後，先工作一年，然後再出國留學。
帽子,戴在頭上，用以遮陽、避雨、保暖或裝飾的用品。[例]這頂帽子的樣式很特別。
後退,向後退。[例]兩輛大卡車在窄道上相碰，誰也不願後退。
蟒蛇,1.→蟒
驚訝,驚奇訝異。[例]媽媽一聽到自己中了頭獎，一時驚訝得說不出話來。
許願,向神明祈福，並承諾於願望實現後將付出某種代價表示酬謝，稱為「許願」。[例]他在廟裡許願，若順利通過考試，將以鮮花素果祭拜答謝。
晨光,早晨的陽光。[例]在晨光中漫步，呼吸清新的空氣，是人生一大享受。
樹苗,樹木的幼苗。[例]他在花市買了一棵樹苗，準備種在院子的一角。
徐徐,緩慢的樣子。[例]晚風徐徐吹來，令人心曠神怡。
虔誠,恭敬而真誠。[例]阿姨是位虔誠的基督教徒，每星期都會上教堂做禮拜。
燦爛,形容光彩美麗。[例]他的笑容如同太陽般燦爛，十分吸引人。
杜鵑花,杜鵑所開的花。花色和形狀各有不同。[例]公園裡的杜鵑花盛開，非常好看。　◎
鮮豔,鮮明亮麗。[例]今晚姊姊穿著鮮豔的衣服參加畢業舞會。
耀眼,1.光線強烈，使人目眩。[例]耀眼的陽光照射在金黃色的稻穗上，預示了豐收的喜悅。
飛翔,在空中飛旋。[例]在海邊，常見成群的海鷗飛翔著。
輕紗,輕軟細薄的絲、棉等纖維織品。[例]表演者身穿輕紗舞衣在臺上翩翩起舞。
屋簷,中國傳統建築中，由屋頂延伸出來超過牆壁略往下垂的部分。[例]突然下起雨來，沒帶雨具，只好暫時在別人的屋簷下躲雨。　△屋檐
垂掛,懸掛。[例]風鈴垂掛在窗前，微風一來，叮噹作響，甚是悅耳。
一股,1.由二條以上合成的物體，稱其一條為「一股」。唐．白居易〈長恨歌〉：「釵留一股合一扇，釵擘黃金合分鈿。」
清涼,涼爽。[例]夏天喝西瓜汁，既清涼又可口。
感覺,1.一種經由感官將外界的刺激傳達至神經，而在大腦產生識別反應的生理現象。[例]老年痴呆症初期會有感覺遲鈍的症狀。
舒服,身心感到輕鬆愉快。[例]她昨天感冒，身體不舒服。
味道,1.舌頭嚐東西所得到的感覺。[例]這碗湯的味道真好。
水溝,疏通流水的溝道。[例]我們要定期清除水溝，才不致於滋生蚊蟲。
連忙,趕緊、急忙。[例]大雨突然傾盆而下，她連忙把傘撐開。
短髮,短的頭髮，長度不超過肩膀的頭髮。[例]她剪了一頭短髮，看起來十分俏麗。
眼鏡,用玻璃片、水晶片等加上鏡架製成，戴在眼睛前，以矯正視力或遮住強烈光線、風沙的器具。[例]近視眼鏡、老花眼鏡、太陽眼鏡
書架,存放書籍的架子。[例]家中的書架擺滿了各類的書籍。
收拾,1.整理、處理。[例]每個人要負責收拾自己的房間。
吵鬧,1.爭吵，發生口角。[例]大家坐下來好好談，何必為了小事吵鬧不休呢？
麻雀,1.動物名。雀形目。圓頭，短尾，栗褐色，身上雜有黑褐色斑點，翅膀短小，善於跳躍，以穀粒和昆蟲為主要食物。[例]在田裡常見農人用稻草人嚇走麻雀。　△老家子、老家賊、家雀　◎
魔法,具有神祕色彩的法術。[例]相傳巫師具有治病、驅邪的魔法。
暗號,祕密的口令或記號。[例]初次見面，他們約定暗號，以便能認出對方。
腦子,1.腦髓、腦液。[例]安全帽保護頭部，就如同頭骨保護腦子一樣。　△腦漿
電腦,一種能接受資料並按照人為指示的方法處理，產生有效結果的裝置。通常由輸出入設備、中央處理器、主記憶體、算術和邏輯單元等五大部門組成。[例]在現代的社會中，電腦能迅速幫助我們處理事情。　△電子計算機　◎
魔術,利用各種道具，以祕密且快速的手法，做出超乎常理的表演。[例]他空手變出活鯉魚的魔術，博得滿堂喝采。
幫助,替人出力、出主意或給予物質上、精神上的支援。[例]我能順利完成學業，多虧兄長全力幫助。
特製,特別製造。[例]這家店特製的香酥麵包，遠近馳名。
工匠,具工藝專長的人。[例]那位打鐵工匠技藝精湛，所造的鐵器件件精良。
魯班,春秋時魯國的巧匠。參見「公輸般」條。
王宮,帝王所居住的宮殿。[例]凡爾賽宮是法國著名的王宮。
苦惱,憂愁煩惱。[例]事情並不如你想像中的糟，何必自尋苦惱？
了解,1.明白、知曉。[例]老師講得很清楚，所以每位學生都能澈底了解。　△瞭解
斧頭,砍伐樹木、劈削木材的用具。[例]伐木工人拿著斧頭到樹林裡砍樹。　△斧子
鋒利,1.銳利。[例]這把刀很鋒利，請小心使用。
速度,1.事物進行過程的快慢程度。[例]駕車經過市區，應減緩行車速度。
鋸子,以薄金屬片製成邊緣有銳齒的切割工具，專用來割鋸木、石、金屬等硬質固體材料。[例]鋸子是做木工時不可或缺的工具。　◎
善於,在某方面具有特長。如：「善於烹飪」。
觀察,仔細察看。[例]那個小男孩蹲在牆腳，好奇地觀察螞蟻的活動。
思考,1.思索、考慮。[例]事關緊要，你決定前要仔細思考一番。
曲尺,木匠用來量直角的尺。縱長橫短，形似直角三角形的勾股兩邊，上刻以分寸，用來度量相鄰面是否垂直或畫直角。　△矩尺
城市,街道寬廣、人口密集，有繁盛商業的地方。相對於鄉村而言。[例]她剛從鄉下到這個城市來謀生，一切都還不熟悉。
倫敦,城市名。位於英格蘭東南部，跨泰晤士河，為英國首都及政治、經濟、文化、交通中心，港口吞吐量居全國之首。世界主要的金融和貿易中心，外匯和黃金交易市場繁榮。市內交通便捷，有大英博物館、倫敦鐵塔、西敏寺、白金漢宮等名勝。泰晤士河倫敦橋下游有格林威治天文臺原址，為地球經度起算點。
解決,1.疏解紛亂，或處理問題有了結果。[例]他租到了一間公寓，解決了住的問題。
糾紛,有爭執的事情。[例]他們兩人之間的財務糾紛，不知何時才能理清？
律師,受當事人委託或法院指定，協助當事人進行訴訟、辯護或處理有關法律事務的專業人員。[例]這位律師以追求公義聞名，常提供弱勢者免費諮詢或訴訟協助。
改善,改變舊有的情況，使其變好。[例]加強人文教育是改善社會乖戾之氣的途徑之一。
擁擠,人、物眾多密集的樣子。[例]在擁擠的人潮中，要謹防扒手。
設計,1.預先規劃、製定圖樣。[例]室內設計、景觀設計
市議會,市級地方民意機關。由市民選舉議員，並由議員互選議長、副議長各一人組成，代表市民議決各種市政事務，並受理人民請願等事項。
議員,代議政治的國家，由人民選出具有合法資格，可以代表人民行使政權的人。[例]本區選出的議員，為民服務一向不遺餘力。
費用,開支、花費的款項。[例]家裡人口多，費用自然就大。
建議,1.向他人提出自己的主張。[例]他既然志不在此，我建議他及早另謀出路。
密碼,一種特別編定的祕密數碼。經常用於電訊傳遞，也有用於重要文件或其他事物者，藉以達成祕密通訊的目的。[例]銀行保管箱密碼的設定，是為了保障使用者的安全。
校慶,學校創立的紀念日。[例]即日起，校方將舉辦一系列活動來慶祝本校二十週年校慶。
掃描,1.利用電子光束、雷射光、無線電波、聲波、超音波等，依次定向、來回、有順序、週期性的移動過程。如雷達、聲納、電視、電腦都是藉著掃描，方能呈現或接收影像。[例]利用雷達掃描，可以偵測到是否有敵機入侵。
節目,泛指各種演出活動的項目。[例]特別節目、電視節目、廣播節目
流程,1.水流經的路程。[例]臺灣的溪流受地形影響，坡陡水急，流程較短。
連結,互相結合。[例]他連結校友的力量，為母校建了一座小型圖書館。
資料,1.可供參考或研究的材料或記錄。[例]取得第一手資料對研究問題具有很大的幫助。
影音,影像和聲音。[例]影音光碟、影音設備
車票,乘車所需的票券憑證。[例]請各位乘客拿出車票，以便列車長驗票。
周圍,環繞在物體四周的部分。[例]監獄的周圍架設著高壓電線，是為了防止人犯逃脫。
節省,節約儉省。[例]由於家境貧困，他從小就養成節省的習慣。
例如,舉例時的用語。置於所舉的例子前面，表示下面就是例子。[例]我的興趣很廣泛，例如集郵、運動、爬山、唱歌等。
生產,1.憑勞力工作，賺錢維持生活。[例]社會上若有太多不事生產的人，是國家的一大負擔。
優待券,可享受優越待遇的證券，為商業上招徠顧客的一種辦法。
錢包,裝錢的袋子。[例]上公車時，應將自己的錢包保管好，以免被小偷扒走。
人類,人的總稱。[例]狗是人類最忠實的朋友。
科技,科學技術。[例]科技發展日新月異，移民外太空的想法可能有機會實現。
油桐,植物名。大戟科油桐屬，落葉小喬木。原產於中國大陸，以四川、湖南的油桐，品質最佳。高約十公尺，葉呈卵形或心臟形，互生，初夏開小白花，雌雄同株。球形核果，種子可榨油，為製造洋漆、顏料、油墨等的原料。亦供作藥用，可消腫解砒毒。白色木材，質稍軟，可作箱材、床板、家具等。
初夏,夏季的第一個月，相當於陰曆四月。唐．陸龜蒙〈奉酬襲美先輩初夏見寄次韻〉：「覽物正搖思，得君初夏行。」《喻世明言．卷一三．張道陵七試趙昇》：「時值初夏，真人一日會集諸弟子，同登天柱峰絕頂。」
山腰,山的中部，半山處。[例]這座廟宇位於山腰，順著石階向上走就能到達。
覆蓋,掩覆遮蓋。[例]大地被白雪覆蓋成一片銀色世界。
抬頭,1.舉起頭來。[例]抬頭挺胸
枝椏,樹木旁生的小枝條。[例]春天一到，許多樹木都長出了新綠的枝椏。
樹梢,樹木的末端。[例]有隻小鳥停在樹梢上迎風鳴唱。
禮服,在重要場合或舉行典禮時所穿著的衣服。[例]他每次赴宴都會穿著禮服，以表示對主人的尊重。
肩頭,兩肩之上。[例]他剛從大雨中歸來，雖然撐著傘，肩頭上仍被淋溼了。
巴掌,手掌。[例]一個巴掌拍不響。
花瓣,構成花冠的各片。其構造與葉子相似，但細胞中含有各種不同的色素，故有不同的顏色。[例]某些花的花瓣形狀奇特，可以吸引昆蟲前來採蜜傳粉。　◎
童話,為兒童編寫的故事，適於兒童心理與興趣，行文淺易，多敘述神奇美妙的故事，啟發兒童的心智，增加幻想的空間。如格林童話、安徒生童話等。[例]「愛麗絲夢遊奇境記」是世界有名的童話。
野柳,1.野生的柳樹。
地質,泛指地殼中岩石或礦物的種類、性質、成分、分布和結構。[例]海岸平原的地質成分多是砂和黏土等堆積物。
烏龜,1.動物名。身體呈扁形，背部有長圓形硬殼，黑褐色。有花紋，頭尾及四肢皆可縮入甲殼內。趾有蹼，能游泳，生長在湖泊、河川中，以雜草、小動物為食。甲殼可以入藥。也稱為「王八」、「元緒」。
仙女,女性仙人。[例]媽媽常希望自己是個仙女，魔法棒一揮，東西就會歸回原位。
排列,1.依照次序排成行列。[例]遠處一片綠油油的稻田，如棋盤般整齊的排列著。
燭臺,用以固定蠟燭的器物。多用銅錫陶瓷等材質製成，有承盤及底座。[例]我家神桌上的燭臺是祖父留下來的，已經傳承三代了。
圓潤,1.圓滿豐潤。[例]她戴上圓潤的珍珠項鍊，更襯托出典雅的氣質。
岩石,構成地球外殼的礦物集合體。可分為火成岩、沉積岩、變質岩三種。是地球上岩石圈的主要物質。[例]爸爸最喜歡蒐集各種形狀的岩石。
香菇,植物名。擔子菌類香蕈科香蕈屬。腐生植物。生於松、栗等枯木枝幹上，子實體肉質，菌蓋表面褐色，菌褶白色，菌柄略彎曲。目前都以人工培養，供食用。也稱為「香菌」、「香蕈」。
豆腐,將黃豆浸水後磨成豆漿，加入鹽滷或石膏使凝結成塊，再壓去部分水分所製成的食品。[例]豆腐不但細嫩爽口，也具有豐富的營養價值。　△豆脯、菽乳
雕塑,1.雕刻塑造。[例]這尊石膏像雕塑得栩栩如生，十分逼真。
鬼斧神工,鬼神的斧斤、工夫。形容景觀奇特或技藝精巧，像是鬼神所造。[例]這件雕塑被評審們一致推崇為鬼斧神工之作。
冰河,在高山或兩極地區，積雪終年不化，雪層變厚，由其本身的壓力而變成冰塊，又因重力作用而沿著山坡移動，滑入溝澗，便形成冰河。[例]科學家指出因為地球溫度逐年升高，極地的冰河溶解，移動速度也逐年加快。　△冰川
陸地,地球表面除去海洋、湖泊、河川等的部分。[例]青蛙是兩棲類動物，能夠在水中和陸地兩種不同的環境生活。
皮膚,覆蓋於高等動物表面的構造。由外而內分為表皮、真皮和皮下組織三層，具有保護、呼吸、排泄、調節體溫等功用。[例]他因為食物過敏，皮膚上長出一粒粒的疹子。
黏液,生物體內所分泌出的黏稠液體。如口水、鼻涕、痰等。[例]鰻魚身上有黏液，滑溜難捉。
保持,維持相同的狀態。[例]保持現狀、保持身材
敵人,仇敵，與己方有仇恨而相對抗的人。[例]他們因為立場不同，竟然由好友變成了敵人。
縫隙,空隙。[例]冷風從窗戶的縫隙中吹了進來。
產卵,卵生動物的卵在體內成熟後產出體外。[例]這本書詳細介紹了魚蝦的產卵過程。
砍伐,用刀斧劈砍樹木。[例]適度砍伐林木，才不會造成森林迅速消失，危及地球生態環境。
